rank,category,sentiment score
81,homeneeds,0.8412523031000001
81,pc,0.8576766523
81,petsupplies,0.774457604
81,toys,0.96844674675
82,electronics,0.7577018262
82,fashion,0.776502877
82,grocery,0.689586237
82,homeneeds,0.7145619153999999
82,pc,0.8838582634
82,petsupplies,0.6684907819999999
82,toys,0.7427823440000001
83,fashion,0.9272196949
83,grocery,0.7346243134285714
83,homeneeds,0.8526052951999998
83,pc,0.44484009750000003
83,petsupplies,0.6448695280000001
83,toys,0.8213192522
84,electronics,0.636506005090909
84,fashion,0.9199951409999999
84,grocery,0.964088798
84,homeneeds,0.7107438355000001
84,pc,0.8219046534000001
84,petsupplies,0.405246215
84,toys,0.6750771731
85,electronics,0.3378108858
85,fashion,0.7127808095
85,grocery,0.7239852790000001
85,homeneeds,0.890912825
85,pc,0.6486661343999999
85,petsupplies,0.556086567
85,toys,0.951893687
86,electronics,0.7090054392
86,fashion,0.8360195220000002
86,grocery,0.7286552964
86,homeneeds,0.8981417538
86,pc,0.6390639929999999
86,petsupplies,0.7564948585714285
86,toys,0.43814907959999994
87,electronics,0.5675240785
87,fashion,0.5075863421
87,grocery,0.49366031099999996
87,homeneeds,0.5268439621999998
87,pc,0.612324816
87,petsupplies,0.69022456
87,toys,0.6708810210999999
88,electronics,0.7636352598000001
88,fashion,0.7754917652
88,grocery,0.7239852790000001
88,homeneeds,0.544511229
88,pc,0.6567443758
88,petsupplies,0.635024535
88,toys,0.919701934
89,electronics,0.4755095869999999
89,fashion,0.9474335192
89,grocery,0.8688290059
89,homeneeds,0.7898464917999999
89,pc,0.5502543658000001
89,petsupplies,0.257085784
89,toys,0.5036652684
90,electronics,0.9349431157000001
90,fashion,0.8825222015000002
90,grocery,0.7239852790000001
90,homeneeds,0.7198011635
90,pc,0.5845287323
90,petsupplies,0.93111014
90,toys,0.7903779924
91,electronics,0.9352410496999999
91,fashion,0.9571555254999999
91,grocery,0.93721326
91,homeneeds,0.4137815832
91,pc,0.5401459276
91,petsupplies,0.466852057
91,toys,0.7632599472999999
92,electronics,0.9099582734
92,fashion,0.975761056
92,grocery,0.8121717274
92,homeneeds,0.822778191375
92,pc,0.7420452059
92,petsupplies,0.7611172820000001
92,toys,0.7483256697999999
93,electronics,0.6259973019999999
93,fashion,0.6431832164
93,grocery,0.7239852790000001
93,homeneeds,0.7274435709999999
93,pc,0.588515882
93,petsupplies,0.635024535
93,toys,0.7427823440000001
94,electronics,0.9349431157000001
94,fashion,0.6877220123999999
94,grocery,0.6791643075714285
94,homeneeds,0.5048973977
94,pc,0.4168435693
94,petsupplies,0.635024535
94,toys,0.9613422693
95,electronics,0.34345991310000007
95,fashion,0.6917679579
95,grocery,0.9942575690000001
95,homeneeds,0.7274435709999999
95,pc,0.8814175129999999
95,petsupplies,0.635024535
95,toys,0.8040649205999999
96,electronics,0.6258587361000001
96,fashion,0.7520491778999999
96,grocery,0.709934619
96,homeneeds,0.6325749247
96,pc,0.8096223951000001
96,petsupplies,0.5391613279999999
96,toys,0.7140323250999999
97,fashion,0.7238638458
97,grocery,0.37854230400000005
97,homeneeds,0.4545715778
97,pc,0.7440647583333333
97,petsupplies,0.635024535
97,toys,0.7908183067999999
98,electronics,0.6708634362727273
98,fashion,0.9361217619
98,grocery,0.78805379575
98,homeneeds,0.9244318544999999
98,pc,0.6978579879999999
98,petsupplies,0.7124334019999999
98,toys,0.5240576714
99,electronics,0.7663457901
99,fashion,0.776502877
99,grocery,0.8169457615
99,homeneeds,0.6833871424000001
99,pc,0.913062478857143
99,petsupplies,0.54527037
99,toys,0.9983513359999999
100,electronics,0.8347214668999999
100,fashion,0.7258473843000002
100,grocery,0.7239852790000001
100,homeneeds,0.43746631449999995
100,pc,0.6619622378999999
100,petsupplies,0.8433411229999999
100,toys,0.627534530875
