rank,link,Answered_Questions,Price,Discount,customer_review_count,Category
12,/ANRABESS-Turtleneck-Batwing-Asymmetric-Pullover/dp/B07XMLR6TJ/,0,32.99,0,42,fashion
13,/HARHAY-Womens-Leopard-Striped-Blouses/dp/B07Y6JSW91/,10,18.99,0,103,fashion
14,/Rachel-Zoes-Box-Of-Style/dp/B07ZPPYLVG/,0,54,0,4536,fashion
15,/KIRUNDO-Turtleneck-Sweater-Sleeves-Pullover/dp/B07Z1FY2PD/,17,29.99,0,39,fashion
16,/Feiersi-Womens-Shoulder-Sweater-Pullover/dp/B07W3YXXFS/,6,22.5,0,438,fashion
17,/Amazon-Essentials-Boys-Water-Resistant-Snow/dp/B07PZ8MCK5/,0,29,0,76,fashion
18,/Amazon-Essentials-Womens-Standard-Heavy-Weight/dp/B07Q1DFWZ9/,29,35.1,35,63,fashion
19,/sloong-Sunshine-Engraved-Necklace-Sunflower/dp/B07XCKCMXD/,3,14.99,0,41,fashion
20,/KIRUNDO-Sweater-Sleeves-Stitching-Pullovers/dp/B07XFCZNXG/,10,29.99,0,152,fashion
21,/HOTUEEN-Fashion-Double-Breasted-Woolen/dp/B081Z79DBH/,0,79.99,0,0,fashion
22,/Vibola-Messenger-Crossbody-Shoulder-Handbags/dp/B081V83VZV/,0,6.99,86,0,fashion
23,/Christmas-Earrings-Holiday-Jewelry-Womens/dp/B081LHRB6B/,0,0.99,0,1,fashion
24,/Blanket-Oversized-Cashmere-Pashmina-replica/dp/B07X13D8XG/,8,14.49,15,55,fashion
25,/Amazon-Essentials-Womens-Standard-Mid-Length/dp/B07N8FKDHM/,0,6.99,0,0,fashion
26,/Alepo-Womens-Winter-Beanie-Knitted/dp/B07WC1MS3L/,11,0.99,0,533,fashion
27,/Amazon-Essentials-Toddler-Zip-Front-Sleeper/dp/B07QC8WBCN/,0,11,0,95,fashion
28,/Amazon-Essentials-Heavy-Weight-Hooded-Puffer/dp/B07Q2GYL4Z/,0,13.98,0,0,fashion
29,/BALEAF-Leggings-Thermal-Waisted-Pockets/dp/B07WPB4KGR/,12,29.99,0,36,fashion
30,/KORSIS-Womens-Sleeve-Pleated-Pockets/dp/B07SPYTG4Z/,13,20.5,0,495,fashion
31,/Dealswin-Watching-Christmas-Movies-Novelty/dp/B07Y9C9R6D/,0,11,0,0,fashion
32,/iClosam-Matching-Christmas-Pajamas-Sleepwear/dp/B07YCP8ZTK/,14,18.5,0,32,fashion
33,/Amazon-Essentials-Pullover-Hoodie-Sweatshirt/dp/B07Q2H7Y2T/,0,20.5,0,0,fashion
34,/Amazon-Essentials-Womens-Classic-Fit-T-Shirt/dp/B07R4CN67Y/,0,22.99,0,0,fashion
35,/aihihe-Womens-Tops-Pullovers-Sweatshirt/dp/B07ZNNYST3/,0,7.5,0,1,fashion
36,/Amazon-Essentials-Boys-Thermal-Underwear/dp/B07QFBGF4V/,3,13,0,27,fashion
37,/Vibola-Messenger-Crossbody-Shoulder-Handbags/dp/B081V88C7Z/,0,6.99,85,0,fashion
38,/Jackson-Baltimore-Ravens-Jersey-Womens/dp/B081HWB8YS/,0,23.99,0,0,fashion
39,/Scrunchies-Extensions-Ponytail-Accessories-Blonde/dp/B07X2952B4/,10,11.5,0,34,fashion
40,/Amazon-Essentials-Lightweight-Mockneck-Sweater/dp/B07QHFZ1JV/,4,13.05,0,57,fashion
41,/ViCherub-Thermal-Underwear-Fleece-Winter/dp/B07ZW19ZJ4/,0,14.97,0,0,fashion
42,/Peepers-PeeperSpecs-Filtering-Glasses-Oprahs-Polarized/dp/B07YLJR5T8/,0,8.99,0,0,fashion
43,/Valentines-Engagement-Wedding%EF%BC%8C-Classics-Titanium/dp/B07Y754FGW/,0,11.99,0,16,fashion
44,/Gaoye-Computer-Blocking-Lightweight-Black-Clear/dp/B07YS8RKCD/,19,15.99,0,147,fashion
45,/Amazon-Essentials-Standard-Straight-fit-5-Pocket/dp/B07P2D72P1/,3,24,0,19,fashion
46,/Hypoallergenic-Earrings-Sterling-Silver-Unicorn/dp/B07XCJVP76/,0,6.55,0,96,fashion
47,/KeaBabies-Baby-Socks-Blue-Craft/dp/B07R288JYP/,0,12.96,0,16,fashion
48,/Amazon-Essentials-Boys-Polar-Fleece/dp/B07Q2H6X9P/,0,14,0,39,fashion
49,/Shoelaces-Adults-Tieless-Strings-Elastic/dp/B07XC83KVW/,4,11.99,0,41,fashion
50,/Yaffi-Matching-Pajamas-Christmas-Loungewear/dp/B081C2GSNS/,5,23.5,0,21,fashion
51,/Wallets-Blocking-Minimalist-Pocket-Leather/dp/B07WR9RCVD/,11,17.77,14,346,fashion
