rank,category,product_link,name,avg_rating,review link,rating_count,prime,Images
47,toys,/LEGO-Disney-Frozen-Expedition-Building/dp/B07Q2MQQ1K/,"            LEGO Disney Frozen II Anna’s Canoe Expedition 41165 Frozen Adventure Easy Building Kit, New 2019 (108 Pieces)        ",4.4 out of 5 stars,/product-reviews/B07Q2MQQ1K/,22,prime,6
48,toys,/Frozen-2-Feature-Elsa-Doll/dp/B07KWSCPR4/,"            Disney Frozen 2 Elsa Musical Doll Sings Into the Unknown - Features 14 Film Phrases - Dress Lights Up - Ages 3+, 14 In        ",4.1 out of 5 stars,/product-reviews/B07KWSCPR4/,11,prime,6
49,toys,/Monopoly-E5066-Frozen/dp/B07MTYQMFQ/,            Monopoly Game: Disney Frozen 2 Edition Board Game for Ages 8 & Up        ,3.4 out of 5 stars,/product-reviews/B07MTYQMFQ/,4,prime,6
50,toys,/Frozen-Snow-Glow-Elsa-Doll/dp/B07KWX4MDF/,"            Disney Frozen Snow Glow Elsa Doll - Features Iconic ICY Blue Snowflake Dress - Sings Let It Go - Ages 3+, 14 in        ",4.6 out of 5 stars,/product-reviews/B07KWX4MDF/,6,prime,7
51,toys,/Jenga-Fortnite-Wooden-Stacking-Applicable/dp/B07VZYRY1R/,"            Jenga: Fortnite Edition Game, Wooden Block Stacking Tower Game for Fortnite Fans, Ages 8 & Up, Not Applicable        ",4.3 out of 5 stars,/product-reviews/B07VZYRY1R/,11,prime,7
52,toys,/Mattel-Games-UNO-Disney-Frozen/dp/B07W5KTPCS/,            Mattel Games UNO Disney Frozen II        ,5.0 out of 5 stars,/product-reviews/B07W5KTPCS/,8,prime,5
53,toys,/Funko-Advent-Calendar-Marvel-Anniversary/dp/B07PQTDG9Q/,"            Funko Advent Calendar: Marvel 80th Anniversary, 24Pc        ",4.3 out of 5 stars,/product-reviews/B07PQTDG9Q/,68,prime,4
54,toys,/LEGO-X-Wing-Starfighter-Trench-Building/dp/B07GZ5VB4T/,"            LEGO Star Wars X-Wing Starfighter Trench Run 75235 4+ Building Kit, 2019 (132 Pieces)        ",4.8 out of 5 stars,/product-reviews/B07GZ5VB4T/,42,prime,7
55,toys,/Funko-Pop-Deluxe-Marvel-Exclusive/dp/B081R4DTHG/,"            Funko Pop! Deluxe, Marvel: Avengers Assemble Series - Iron Man, Amazon Exclusive, Figure 1 of 6        ",not found,not found,not found,prime,4
56,toys,/Crayola-Wonder-Frozen-Coloring-Markers/dp/B07N3GGLQZ/,"            Crayola Color Wonder Frozen Coloring Book & Markers, Mess Free Coloring, Gift for Kids, Age 3, 4, 5, 6 (Styles May Vary)        ",4.6 out of 5 stars,/product-reviews/B07N3GGLQZ/,59,prime,1
57,toys,/LEGO-Disney-Enchanted-Treehouse-Building/dp/B07PZF1GQQ/,"            LEGO Disney Frozen II Enchanted Treehouse 41164 Toy Treehouse Building Kit featuring Anna Mini Doll and Bunny Figure for Pretend Play, New 2019 (302 Pieces)        ",4.5 out of 5 stars,/product-reviews/B07PZF1GQQ/,29,prime,6
58,toys,/Play-Doh-Compound-Corner-Variety-Pack/dp/B07V77DYM6/,"            Play-Doh Compound Corner Variety 6 Pack - Slime, Cloud, Krackle, Stretch, Foam        ",3.8 out of 5 stars,/product-reviews/B07V77DYM6/,25,prime,6
59,toys,/Funko-Pop-Marvel-Holiday-Multicolor/dp/B07QGWYL1Y/,"            Funko Pop! Marvel: Holiday - Groot with Wreath, Multicolor        ",4.7 out of 5 stars,/product-reviews/B07QGWYL1Y/,47,prime,1
60,toys,/Disney-Frozen-Storytelling-Fashion-Doll/dp/B07MSV8X1W/,"            Disney Frozen Anna Doll with Buildable Olaf Figure & Backpack Accessory, Inspired by 2 Movie        ",5.0 out of 5 stars,/product-reviews/B07MSV8X1W/,4,no prime,2
61,toys,/Frozen-Disney-Follow-Me-Friend-Olaf/dp/B07P75GM9L/,            Frozen Disney 2 Follow-Me Friend Olaf        ,3.5 out of 5 stars,/product-reviews/B07P75GM9L/,10,prime,6
62,toys,/Disney-Frozen-Frz-Character-Kristoff/dp/B07MSVFZFP/,            Disney Frozen Kristoff Fashion Doll with Brown Outfit Inspired by The Frozen 2 Movie - Toy for Kids 3 Years Old & Up        ,5.0 out of 5 stars,/product-reviews/B07MSVFZFP/,3,prime,3
63,toys,/Funko-42754-Advent-Calendar-Fortnite/dp/B07PPPRSB4/,            Funko Advent Calendar- Fortnite        ,4.3 out of 5 stars,/product-reviews/B07PPPRSB4/,20,prime,2
64,toys,/Wildluvs-Interactive-Elephant-Moving-Movements/dp/B07N3VZQN2/,            Wildluvs Juno My Baby Elephant with Interactive Moving Trunk & Over 150 Sounds & Movements        ,4.1 out of 5 stars,/product-reviews/B07N3VZQN2/,47,prime,6
65,toys,/WowWee-Pixie-Belles-Interactive-Enchanted/dp/B07NJSTD5G/,            WowWee Pixie Belles - Interactive Enchanted Animal Toy        ,4.1 out of 5 stars,/product-reviews/B07NJSTD5G/,13,prime,6
